Model,MAE,RMSE,MAPE
XGBoost Regressor,340.7638244628906,424.82992920697103,2.5243662297725677
LightGBM Regressor,313.71776078897085,398.03188062085763,2.2861543892047838
PyTorch LSTM,1455.8662394920984,1734.981809242038,10.728654613307292
